   timestamp   | containerid | interval |  rbw_a   | riops_a | rlatency_a |   wbw_a   | wiops_a | wlatency_a |  rbw_b   | riops_b | rlatency_b |  wbw_b   | wiops_b | wlatency_b 
---------------+-------------+----------+----------+---------+------------+-----------+---------+------------+----------+---------+------------+----------+---------+------------
 1453287600061 |      425417 |  3600000 |   808373 |      42 |        190 |  48678217 |    6377 |         74 |  1145159 |     106 |        186 | 35511450 |    3960 |         74
 1453291200061 |      425417 |  3600000 |   852355 |      52 |        180 |  44752964 |    6036 |         73 |  2161217 |     233 |        185 | 29975182 |    3478 |         72
 1453294800061 |      425417 |  3600000 |   790144 |      94 |        188 |  43213955 |    5731 |         77 |  1091115 |     138 |        196 | 30447067 |    3427 |         74
 1453298400061 |      425417 |  3600000 |   313705 |      43 |        187 |  43167135 |    5783 |         74 |  1617106 |     218 |        185 | 30168744 |    3545 |         75
 1453302000061 |      425417 |  3600000 |   639289 |      89 |        187 |  42627772 |    5753 |         74 |  1049176 |     121 |        198 | 30152596 |    3549 |         73
 1453305600061 |      425417 |  3600000 |   537640 |      39 |        176 |  45190079 |    6171 |         76 |  1700989 |     205 |        193 | 31484436 |    3672 |         73
 1453309200061 |      425417 |  3600000 |   514011 |      76 |        179 |  44930310 |    6180 |         73 |   867994 |      98 |        191 | 30304014 |    3519 |         75
 1453312800061 |      425417 |  3600000 |   217586 |      22 |        191 |  46372594 |    6308 |         87 |   927206 |     130 |        189 | 31700779 |    3713 |         73
 1453316400061 |      425417 |  3600000 |   312832 |      44 |        186 |  45476628 |    6131 |         72 |   501993 |      68 |        194 | 30813725 |    3558 |         75
 1453320000061 |      425417 |  3600000 |   197823 |      22 |        180 |  46793987 |    6430 |         74 |   987998 |     113 |        185 | 31685669 |    3737 |         73
 1453323600061 |      425417 |  3600000 |   401101 |      28 |        179 |  47633235 |    6542 |         72 |   461158 |      48 |        196 | 31372902 |    3683 |         76
 1453327200061 |      425417 |  3600000 |   170408 |      19 |        186 |  46887370 |    6422 |         75 |   787544 |     102 |        189 | 31377684 |    3707 |         79
 1453330800061 |      425417 |  3600000 |   321846 |      28 |        186 |  46458271 |    6547 |         72 |   300974 |      42 |        200 | 30508143 |    3672 |         73
 1453334400061 |      425417 |  3600000 |   212369 |      26 |        179 |  46312206 |    6353 |         72 |   839461 |      89 |        184 | 31143953 |    3793 |         72
 1453338000061 |      425417 |  3600000 |   557511 |      45 |        172 |  46427608 |    6279 |         78 |   544785 |      52 |        197 | 30531041 |    3710 |         78
 1453341600061 |      425417 |  3600000 |   290546 |      22 |        178 |  43850456 |    5948 |         73 |  1002158 |      84 |        206 | 29987052 |    3595 |         73
 1453345200061 |      425417 |  3600000 |   503032 |      48 |        175 |  44340150 |    6159 |         72 |   442712 |      39 |        196 | 30965555 |    3714 |         76
 1453348800061 |      425417 |  3600000 |   294659 |      40 |        179 |  42604029 |    5940 |         71 |   762743 |      84 |        191 | 30083772 |    3656 |         72
 1453352400061 |      425417 |  3600000 |   415315 |      65 |        175 |  43488339 |    5935 |         75 |   326158 |      37 |        187 | 29776771 |    3602 |         74
 1453356000061 |      425417 |  3600000 |   205491 |      22 |        192 |  44799351 |    6122 |         75 |  1031600 |     102 |        187 | 29759110 |    3665 |         81
 1453284300061 |      425417 |   150000 |   108800 |      21 |        186 |  40663168 |    5623 |         69 |   228096 |      51 |        183 | 33663232 |    3737 |         70
 1453284900061 |      425417 |   150000 |   154897 |      29 |        182 |  43583215 |    5821 |         75 |    70178 |       9 |        207 | 29647599 |    3511 |         73
 1453285050061 |      425417 |   150000 |  2288094 |     221 |        236 | 101493760 |   10314 |         83 |  3025579 |     276 |        261 | 90871603 |    8394 |         84
 1453285500061 |      425417 |   150000 |  2686225 |      71 |        182 |  41046016 |    5710 |         71 |   494387 |      63 |        183 | 29393237 |    3445 |         72
 1453285650061 |      425417 |   150000 |   378129 |      33 |        225 |  43586560 |    5874 |         72 |  1573274 |      40 |        218 | 32515209 |    3698 |         74
 1453284450061 |      425417 |   150000 |    73796 |      14 |        184 |  43575501 |    5759 |         72 |   148958 |      24 |        197 | 29655996 |    3475 |         72
 1453284600061 |      425417 |   150000 |    52702 |       8 |        194 |  40636553 |    5618 |         70 |   104994 |      14 |        174 | 29632717 |    3477 |         73
 1453284750061 |      425417 |   150000 |    49903 |       7 |        191 |  42648781 |    5817 |         71 |    82125 |       9 |        131 | 29413376 |    3428 |         72
 1453285200061 |      425417 |   150000 |  3229082 |     144 |        180 |  95789261 |   11181 |         70 |  1085099 |     132 |        184 | 74157534 |    7024 |         76
 1453285350061 |      425417 |   150000 |   207735 |      18 |        178 |  59622263 |    6944 |         69 |   210603 |      21 |        148 | 30612139 |    3705 |         74
 1453285800061 |      425417 |   150000 |   407074 |      40 |        184 |  40274534 |    5584 |         72 |  1637376 |      32 |        199 | 29064397 |    3472 |         72
 1453285950061 |      425417 |   150000 |    92228 |      17 |        202 |  41550302 |    5556 |         73 |   320580 |      16 |        157 | 30450483 |    3541 |         71
 1453286100061 |      425417 |   150000 |   105199 |      17 |        176 |  38798063 |    5467 |         73 |   261598 |      17 |        155 | 29343539 |    3403 |         71
 1453286250061 |      425417 |   150000 |   135851 |      16 |        197 |  44317764 |    6004 |         72 |   105882 |      12 |        215 | 30218718 |    3547 |         93
 1453286400061 |      425417 |   150000 |    93730 |      11 |        197 |  43611887 |    5974 |        128 |    93116 |      14 |        204 | 29796898 |    3559 |         73
 1453286550061 |      425417 |   150000 |   708403 |      22 |        209 |  42290176 |    5903 |         70 |  1443294 |     255 |        174 | 30189500 |    3571 |         73
 1453286700061 |      425417 |   150000 |  1241498 |      24 |        175 |  43748898 |    6121 |         71 |  1219174 |     124 |        148 | 31477965 |    3747 |         71
 1453286850061 |      425417 |   150000 |    69973 |      13 |        180 |  45304081 |    6380 |         69 |  6387917 |     852 |        184 | 32530432 |    3666 |         70
 1453287000061 |      425417 |   150000 |  1224772 |      25 |        190 |  43895330 |    6163 |         71 |   406801 |      33 |        184 | 32704171 |    3773 |         73
 1453287450061 |      425417 |   150000 |  2365372 |      45 |        116 |  45144951 |    6040 |         72 |   997376 |      59 |        210 | 30792704 |    3607 |         72
 1453287600061 |      425417 |   150000 |   773325 |      54 |        185 |  43209796 |    5941 |         70 |  5576704 |     690 |        189 | 31472777 |    3749 |         70
 1453287900061 |      425417 |   150000 |  1605018 |      64 |        183 |  45454336 |    5981 |         69 |   247194 |      28 |        184 | 28557107 |    3515 |         72
 1453288200061 |      425417 |   150000 |  2635708 |     203 |        129 |  46430208 |    6213 |         70 |  5084365 |     285 |        214 | 30559915 |    3553 |         71
 1453288350061 |      425417 |   150000 |  1456538 |      16 |        206 |  42354551 |    5874 |         73 |   406460 |      48 |        226 | 31715191 |    3634 |         72
 1453287150061 |      425417 |   150000 |  1398374 |      62 |        241 |  45174033 |    6253 |         73 |  2197163 |     140 |        183 | 33470123 |    3759 |         72
