
TIME               |OWNER                                                                                                                           |OBJECT_NAME                                                                                                                                                                                                                                                       |OBJECT_TYPE       |BUFFER_|SUM(X.BYTES)|SUM(R.LOGICAL_READS)|SUM(R.PHYSICAL_READS)
2016/05/23 10:11:04|SYS                                                                                                                             |I_OBJ5                                                                                                                                                                                                                                                            |INDEX             |DEFAULT|     8388608|                 576|                    0
2016/05/23 10:11:04|SYS                                                                                                                             |OBJ$                                                                                                                                                                                                                                                              |TABLE             |DEFAULT|    12582912|                2832|                    0
2016/05/23 10:11:04|SYS                                                                                                                             |WRM$_WR_CONTROL                                                                                                                                                                                                                                                   |TABLE             |DEFAULT|       65536|                  32|                    0
2016/05/23 10:11:04|PERFSTAT                                                                                                                        |STATS$SYSTEM_EVENT                                                                                                                                                                                                                                                |TABLE             |DEFAULT|     1048576|               83504|                    0
2016/05/23 10:11:04|PERFSTAT                                                                                                                        |STATS$SYSTEM_EVENT_PK                                                                                                                                                                                                                                             |INDEX             |DEFAULT|     1048576|                1376|                    0
2016/05/23 10:11:04|PERFSTAT                                                                                                                        |STATS$SQLTEXT_PK                                                                                                                                                                                                                                                  |INDEX             |DEFAULT|     1048576|                 432|                    0
2016/05/23 10:11:04|SYS                                                                                                                             |WRH$_SYSSTAT_PK(WRH$_SYSSTA_1440056671_77)                                                                                                                                                                                                                        |INDEX PARTITION   |DEFAULT|      917504|                  16|                    0
2016/05/23 10:11:04|SYS                                                                                                                             |I_OBJ1                                                                                                                                                                                                                                                            |INDEX             |DEFAULT|     3145728|                 192|                    0
2016/05/23 10:11:04|SYS                                                                                                                             |I_ACCESS1                                                                                                                                                                                                                                                         |INDEX             |DEFAULT|     4194304|                  32|                    0
2016/05/23 10:11:04|SYS                                                                                                                             |I_SCHEDULER_JOB1                                                                                                                                                                                                                                                  |INDEX             |DEFAULT|       65536|                  16|                    0
2016/05/23 10:11:04|SYS                                                                                                                             |I_FILE#_BLOCK#                                                                                                                                                                                                                                                    |INDEX             |DEFAULT|      327680|                  32|                    0
2016/05/23 10:11:04|SYS                                                                                                                             |I_USER1                                                                                                                                                                                                                                                           |INDEX             |DEFAULT|       65536|                  16|                    0
2016/05/23 10:11:04|SYS                                                                                                                             |I_JOB_NEXT                                                                                                                                                                                                                                                        |INDEX             |DEFAULT|       65536|                  48|                    0
2016/05/23 10:11:04|SYS                                                                                                                             |SCHEDULER$_WINDOW_GROUP                                                                                                                                                                                                                                           |TABLE             |DEFAULT|       65536|                  96|                    0
