Date:16/05/23 10:43:54

TIME               |SQL_ID       |PLAN_HASH_VALUE|OLD_HASH_VALUE|HASH_VALUE|EXECUTIONS|DISK_READS|BUFFER_GETS|ROWS_PROCESSED|  CPU_TIME|ELAPSED_TIME|COMMAND_TYPE|MODULE
2016/05/23 10:43:54|10s3r3f17ccu3|      805044450|    3124393766|2188784451|         4|         0|       1141|           196|   .011996|      .01218|           7|
2016/05/23 10:43:54|9g8cfpw8dr3mc|     4093451800|    2127188590| 282824300|         5|         1|       1610|           769|   .409935|     .538009|           2|SQL*Plus
2016/05/23 10:43:54|45h233mys5n3s|      815229885|              |          |         1|         0|       1097|            75|   .014997|     .015296|           6|
2016/05/23 10:43:54|7r7twx8dzdd8r|     3520023087|    4061365063| 469153047|         1|         0|       1754|             2|   .061992|     .062369|           2|SQL*Plus
2016/05/23 10:43:54|925d7dd714u48|     3102754926|    1969545765|1309829256|         8|       103|       6020|          6160|   .105983|      .28695|           2|SQL*Plus
2016/05/23 10:43:54|79vddxwy7qz3b|     2777215027|    2062679279|1014725739|         3|         0|         79|            18|      .005|     .007003|           3|
2016/05/23 10:43:54|1rac8z6n21f14|     1229549526|              |          |         1|         0|          2|             1|         0|     .000083|           3|
2016/05/23 10:43:54|a6ygk0r9s5xuj|     3402699465|    3346485941|3548575569|        60|         0|       3480|             0|   .115987|     .135701|           3|
2016/05/23 10:43:54|00zqy3yd0r3p3|              0|    4040331333|2584448675|         4|         0|          0|             0|         0|     .000392|          26|
2016/05/23 10:43:54|0w26sk6t6gq98|     1388734953|     571237433|2993150248|         4|       153|      16231|             4|  2.931555|    4.011349|           3|MMON_SLAVE
2016/05/23 10:43:54|5ms6rbzdnq16t|     4032630273|    1178168971|3679126745|       120|         0|        240|             0|   .013997|     .024725|           3|
2016/05/23 10:43:54|5k5207588w9ry|     1388734953|              |          |         2|        98|       3565|             2|  1.153825|    1.322871|           3|MMON_SLAVE
2016/05/23 10:43:54|3ypcc0jwu2wxr|     4116980629|     253958755|2040624055|         4|         0|         12|             0|         0|     .000423|           7|
2016/05/23 10:43:54|grwydz59pu6mc|     3684871272|    3468666020|1398610540|       139|         0|        280|           139|   .011998|     .012909|           3|
2016/05/23 10:43:54|cgtc5gb7c4g07|      856063356|    1855295302|3468835847|        60|         0|        420|            60|   .010999|     .011381|           3|
2016/05/23 10:43:54|7r7twx8dzdd8r|      751106523|    4061365063| 469153047|         3|         0|       5238|             9|   .138979|     .139517|           2|SQL*Plus
2016/05/23 10:43:54|1gfaj4z5hn1kf|     1110520934|              |          |        68|         0|        204|             0|      .012|     .009246|           7|
2016/05/23 10:43:54|0vcs754gpmxrc|     4255648719|              |          |         2|        22|        321|             2|   .044994|     .082028|           3|MMON_SLAVE
2016/05/23 10:43:54|d2tvgg49y2ap6|     2239723829|              |          |         2|        28|        142|             2|   .154977|     .182541|           3|MMON_SLAVE
2016/05/23 10:43:54|dvzr1zfmdddga|     3652932668|    1700409803|2799089130|         8|       102|       5553|          9424|   .323949|     .560714|           2|SQL*Plus
2016/05/23 10:43:54|dfffkcnqfystw|      850292968|    2459791420| 753886012|         4|       142|      14970|             4|  2.713588|    3.660321|           3|MMON_SLAVE
2016/05/23 10:43:54|146rxqax0mky6|      105323984|              |          |         2|         0|         12|             2|         0|     .000417|           6|DBMS_SCHEDULER
2016/05/23 10:43:54|asvzxj61dc5vs|     3028786551|    2018736380|2195068792|       117|         0|        279|            42|   .008999|     .008438|           3|
2016/05/23 10:43:54|6wm3n4d7bnddg|     1045412740|              |          |         1|         0|        113|             3|      .002|      .00165|           3|
2016/05/23 10:43:54|10t5qpqad0n9r|     1197393184|              |          |         1|         0|        148|             0|   .188971|     .192799|           3|SQL*Plus
2016/05/23 10:43:54|7kmbrw7q8hn4g|              0|    1013070799|3968356495|        60|         0|       4680|            60|    .32795|     .335783|          47|
2016/05/23 10:43:54|1rpgk59t8pvs6|              0|              |          |       132|         0|          0|           132|   .008998|     .007097|          47|
2016/05/23 10:43:54|a0f4b110qtm42|      960246655|              |          |         1|         0|   32653269|           156| 25.018196|     25.3479|           3|SQL*Plus
2016/05/23 10:43:54|4kvhga64b6wah|      272820068|              |          |         2|        16|        227|             2|   .025995|     .056497|           3|MMON_SLAVE
2016/05/23 10:43:54|a2svzc1285tvc|     3409938989|              |          |         1|         1|         13|             4|      .001|     .000293|           2|
2016/05/23 10:43:54|81xx1aq3d6jy0|              0|     366333347|2261993408|         3|        99|      10030|             3|  1.184819|    1.381859|          47|SQL*Plus
2016/05/23 10:43:54|cyz7q9n00p23a|       61158906|    3545384952|    690282|         4|         0|         16|             4|      .001|       .0008|           6|
2016/05/23 10:43:54|a6r5q9yqaqabs|      140787661|    1512023764|2896898424|        76|         0|        310|             0|   .014996|     .011125|           3|
2016/05/23 10:43:54|20vv6ttajyjzq|       98232196|              |          |        68|         0|        172|             0|   .007997|     .006042|           7|
2016/05/23 10:43:54|aykvshm7zsabd|     1829585422|      87488304|3489409389|       120|         0|          0|          2400|   .458924|     .451042|           3|
2016/05/23 10:43:54|10s3r3f17ccu3|     3469818654|    3124393766|2188784451|         0|         0|          0|             0|         0|           0|           7|
2016/05/23 10:43:54|7tchj0bmt6tn1|     1660022729|    1667038016|3885196929|         4|        11|       1809|             4|    .26196|     .484159|           3|MMON_SLAVE
2016/05/23 10:43:54|616m6uhpa2usu|     3455736973|    2601358618| 715221786|         0|         0|          0|             0|         0|           0|           3|
2016/05/23 10:43:54|11dxc6vpx5z4n|     4102363271|    1629027619|3956472980|         8|        60|       5352|          4490|   .117985|     .754692|           2|SQL*Plus
2016/05/23 10:43:54|0b0wj2ykgnnzg|              0|              |          |         4|         0|          0|             0|      .001|     .000331|          26|
2016/05/23 10:43:54|d9vzav10pcpfh|       38951289|    1382506642|1096177104|        60|         0|       2340|            60|   .065988|     .079937|           3|
2016/05/23 10:43:54|3c1kubcdjnppq|      477378112|    3665763022| 454710966|       841|         0|       2755|           811|   .080986|     .081933|           6|
2016/05/23 10:43:54|3y6pgnk2ubw7g|              0|              |          |        74|         0|        456|            74|   .008998|     .006338|           2|
2016/05/23 10:43:54|2m7ax0c761q1q|     3626211693|     200228473| 241227830|         4|         0|          4|             0|         0|      .00054|           7|
2016/05/23 10:43:54|2v020gypqk8pb|     1211894609|      41415173|2875794091|         8|         2|        205|             8|    .40094|     .437602|           2|SQL*Plus
